check_id,dataset,field,expected,actual,status,note
CMP-113,student_performance,quality_issues (type+column set),"[[""duplicate_rows"", """"], [""missing_values"", ""attendance_percentage""], [""missing_values"", ""exam_score""], [""missing_values"", ""gender""], [""missing_values"", ""notes""], [""potential_outliers"", ""study_hours_per_week""], [""value_out_of_documented_range"", ""attendance_percentage""]]","[[""duplicate_rows"", """"], [""missing_values"", ""attendance_percentage""], [""missing_values"", ""exam_score""], [""missing_values"", ""gender""], [""missing_values"", ""notes""], [""potential_outliers"", ""study_hours_per_week""], [""value_out_of_documented_range"", ""attendance_percentage""]]",Pass,
CMP-114,student_performance,warnings (top-level count),5,5,Pass,
CMP-115,student_performance,limitations(presence),True,True,Pass,
CMP-116,small_business_sales,rows,122,122,Pass,
CMP-117,small_business_sales,columns,13,13,Pass,
CMP-118,small_business_sales,status,success_with_warnings,success_with_warnings,Pass,
CMP-119,small_business_sales,profile_version,0.2-proposed,0.2,Divergence,version label only
CMP-120,small_business_sales,duplicates.count,2,2,Pass,
CMP-121,small_business_sales,duplicates.percentage,1.64,1.64,Pass,
CMP-122,small_business_sales,missing_values (all columns),match,match,Pass,
CMP-123,small_business_sales,column set,identical,identical,Pass,
CMP-124,small_business_sales,order_id.inferred_type,identifier,identifier,Pass,
CMP-125,small_business_sales,order_id.missing_count,0,0,Pass,
CMP-126,small_business_sales,order_id.missing_percentage,0.0,0,Pass,
CMP-127,small_business_sales,order_id.unique_count,120,120,Pass,
CMP-128,small_business_sales,order_id.unique_percentage,98.36,98.36,Pass,
CMP-129,small_business_sales,order_id.warnings,"[""numeric-looking identifier: not summarized as a measure""]","[""numeric-looking identifier: not summarized as a measure""]",Pass,
CMP-130,small_business_sales,order_date.inferred_type,text,text,Pass,
CMP-131,small_business_sales,order_date.missing_count,0,0,Pass,
CMP-132,small_business_sales,order_date.missing_percentage,0.0,0,Pass,
CMP-133,small_business_sales,order_date.unique_count,101,101,Pass,
CMP-134,small_business_sales,order_date.unique_percentage,82.79,82.79,Pass,
CMP-135,small_business_sales,order_date.categorical_summary(presence),True,True,Pass,
CMP-136,small_business_sales,order_date.warnings,"[""high_cardinality: 101 distinct values (82.79% of rows)"", ""mixed_date_formats: 122 of 122 values look like dates but do not parse under one consistent format; not treated as datetime""]","[""high_cardinality: 101 distinct values (82.79% of rows)"", ""mixed_date_formats: 122 of 122 values look like dates but do not parse under one consistent format; not treated as datetime""]",Pass,
CMP-137,small_business_sales,product.inferred_type,categorical,categorical,Pass,
CMP-138,small_business_sales,product.missing_count,0,0,Pass,
CMP-139,small_business_sales,product.missing_percentage,0.0,0,Pass,
CMP-140,small_business_sales,product.unique_count,8,8,Pass,
CMP-141,small_business_sales,product.unique_percentage,6.56,6.56,Pass,
CMP-142,small_business_sales,product.categorical_summary(presence),True,True,Pass,
CMP-143,small_business_sales,product.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-144,small_business_sales,category.inferred_type,categorical,categorical,Pass,
CMP-145,small_business_sales,category.missing_count,0,0,Pass,
CMP-146,small_business_sales,category.missing_percentage,0.0,0,Pass,
CMP-147,small_business_sales,category.unique_count,4,4,Pass,
CMP-148,small_business_sales,category.unique_percentage,3.28,3.28,Pass,
CMP-149,small_business_sales,category.categorical_summary(presence),True,True,Pass,
CMP-150,small_business_sales,category.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-151,small_business_sales,region.inferred_type,categorical,categorical,Pass,
CMP-152,small_business_sales,region.missing_count,5,5,Pass,
CMP-153,small_business_sales,region.missing_percentage,4.1,4.1,Pass,
CMP-154,small_business_sales,region.unique_count,5,5,Pass,
CMP-155,small_business_sales,region.unique_percentage,4.1,4.1,Pass,
CMP-156,small_business_sales,region.categorical_summary(presence),True,True,Pass,
CMP-157,small_business_sales,salesperson.inferred_type,categorical,categorical,Pass,
CMP-158,small_business_sales,salesperson.missing_count,0,0,Pass,
CMP-159,small_business_sales,salesperson.missing_percentage,0.0,0,Pass,
CMP-160,small_business_sales,salesperson.unique_count,5,5,Pass,
CMP-161,small_business_sales,salesperson.unique_percentage,4.1,4.1,Pass,
CMP-162,small_business_sales,salesperson.categorical_summary(presence),True,True,Pass,
CMP-163,small_business_sales,quantity.inferred_type,numeric,numeric,Pass,
CMP-164,small_business_sales,quantity.missing_count,0,0,Pass,
CMP-165,small_business_sales,quantity.missing_percentage,0.0,0,Pass,
CMP-166,small_business_sales,quantity.unique_count,10,10,Pass,
CMP-167,small_business_sales,quantity.unique_percentage,8.2,8.2,Pass,
CMP-168,small_business_sales,quantity.numeric_summary.count,122,122,Pass,
CMP-169,small_business_sales,quantity.numeric_summary.mean,4.2705,4.2705,Pass,
CMP-170,small_business_sales,quantity.numeric_summary.median,3.0,3,Pass,
CMP-171,small_business_sales,quantity.numeric_summary.min,-2.0,-2,Pass,
CMP-172,small_business_sales,quantity.numeric_summary.max,40.0,40,Pass,
CMP-173,small_business_sales,quantity.numeric_summary.q1,2.0,2,Pass,
CMP-174,small_business_sales,quantity.numeric_summary.q3,6.0,6,Pass,
CMP-175,small_business_sales,quantity.numeric_summary.std,4.3027,4.3027,Pass,
CMP-176,small_business_sales,unit_price.inferred_type,numeric,numeric,Pass,
CMP-177,small_business_sales,unit_price.missing_count,0,0,Pass,
CMP-178,small_business_sales,unit_price.missing_percentage,0.0,0,Pass,
CMP-179,small_business_sales,unit_price.unique_count,7,7,Pass,
CMP-180,small_business_sales,unit_price.unique_percentage,5.74,5.74,Pass,
CMP-181,small_business_sales,unit_price.numeric_summary.count,122,122,Pass,
CMP-182,small_business_sales,unit_price.numeric_summary.mean,466.7295,466.7295,Pass,
CMP-183,small_business_sales,unit_price.numeric_summary.median,249.5,249.5,Pass,
CMP-184,small_business_sales,unit_price.numeric_summary.min,75.5,75.5,Pass,
CMP-185,small_business_sales,unit_price.numeric_summary.max,1450.0,1450,Pass,
CMP-186,small_business_sales,unit_price.numeric_summary.q1,120.0,120,Pass,
CMP-187,small_business_sales,unit_price.numeric_summary.q3,899.0,899,Pass,
CMP-188,small_business_sales,unit_price.numeric_summary.std,471.2651,471.2651,Pass,
CMP-189,small_business_sales,discount_percentage.inferred_type,numeric,numeric,Pass,
CMP-190,small_business_sales,discount_percentage.missing_count,0,0,Pass,
CMP-191,small_business_sales,discount_percentage.missing_percentage,0.0,0,Pass,
CMP-192,small_business_sales,discount_percentage.unique_count,4,4,Pass,
CMP-193,small_business_sales,discount_percentage.unique_percentage,3.28,3.28,Pass,
CMP-194,small_business_sales,discount_percentage.numeric_summary.count,122,122,Pass,
CMP-195,small_business_sales,discount_percentage.numeric_summary.mean,4.7131,4.7131,Pass,
CMP-196,small_business_sales,discount_percentage.numeric_summary.median,5.0,5,Pass,
CMP-197,small_business_sales,discount_percentage.numeric_summary.min,0.0,0,Pass,
CMP-198,small_business_sales,discount_percentage.numeric_summary.max,15.0,15,Pass,
CMP-199,small_business_sales,discount_percentage.numeric_summary.q1,0.0,0,Pass,
CMP-200,small_business_sales,discount_percentage.numeric_summary.q3,5.0,5,Pass,
CMP-201,small_business_sales,discount_percentage.numeric_summary.std,5.1546,5.1546,Pass,
CMP-202,small_business_sales,revenue.inferred_type,numeric,numeric,Pass,
CMP-203,small_business_sales,revenue.missing_count,0,0,Pass,
CMP-204,small_business_sales,revenue.missing_percentage,0.0,0,Pass,
CMP-205,small_business_sales,revenue.unique_count,90,90,Pass,
CMP-206,small_business_sales,revenue.unique_percentage,73.77,73.77,Pass,
CMP-207,small_business_sales,revenue.numeric_summary.count,122,122,Pass,
CMP-208,small_business_sales,revenue.numeric_summary.mean,2143.7393,2143.7393,Pass,
CMP-209,small_business_sales,revenue.numeric_summary.median,899.0,899,Pass,
CMP-210,small_business_sales,revenue.numeric_summary.min,-216.0,-216,Pass,
CMP-211,small_business_sales,revenue.numeric_summary.max,58000.0,58000,Pass,
CMP-212,small_business_sales,revenue.numeric_summary.q1,364.375,364.375,Pass,
CMP-213,small_business_sales,revenue.numeric_summary.q3,2199.3375,2199.3375,Pass,
CMP-214,small_business_sales,revenue.numeric_summary.std,5600.3596,5600.3596,Pass,
CMP-215,small_business_sales,payment_method.inferred_type,categorical,categorical,Pass,
CMP-216,small_business_sales,payment_method.missing_count,2,2,Pass,
CMP-217,small_business_sales,payment_method.missing_percentage,1.64,1.64,Pass,
CMP-218,small_business_sales,payment_method.unique_count,4,4,Pass,
CMP-219,small_business_sales,payment_method.unique_percentage,3.28,3.28,Pass,
CMP-220,small_business_sales,payment_method.categorical_summary(presence),True,True,Pass,
CMP-221,small_business_sales,status.inferred_type,categorical,categorical,Pass,
CMP-222,small_business_sales,status.missing_count,0,0,Pass,
CMP-223,small_business_sales,status.missing_percentage,0.0,0,Pass,
CMP-224,small_business_sales,status.unique_count,1,1,Pass,
CMP-225,small_business_sales,status.unique_percentage,0.82,0.82,Pass,
CMP-226,small_business_sales,status.categorical_summary(presence),True,True,Pass,
CMP-227,small_business_sales,status.warnings,"[""constant_column: single distinct value; carries no variation""]","[""constant_column: single distinct value; carries no variation""]",Pass,
CMP-228,small_business_sales,notes.inferred_type,text,text,Pass,
CMP-229,small_business_sales,notes.missing_count,33,33,Pass,
CMP-230,small_business_sales,notes.missing_percentage,27.05,27.05,Pass,
CMP-231,small_business_sales,notes.unique_count,75,75,Pass,
CMP-232,small_business_sales,notes.unique_percentage,61.48,61.48,Pass,
CMP-233,small_business_sales,notes.categorical_summary(presence),True,True,Pass,
CMP-234,small_business_sales,notes.warnings,"[""formula_like_content: 4 cell(s) begin with = + - @ and are neutralized before display"", ""high_cardinality: 75 distinct values (61.48% of rows)""]","[""formula_like_content: 4 cell(s) begin with = + - @ and are neutralized before display"", ""high_cardinality: 75 distinct values (61.48% of rows)""]",Pass,
CMP-235,small_business_sales,anomalies[discount_percentage].potential_outliers,16,16,Pass,
CMP-236,small_business_sales,anomalies[quantity].potential_outliers,1,1,Pass,
CMP-237,small_business_sales,anomalies[revenue].potential_outliers,9,9,Pass,
CMP-238,small_business_sales,quality_issues (type+column set),"[[""duplicate_rows"", """"], [""missing_values"", ""notes""], [""missing_values"", ""payment_method""], [""missing_values"", ""region""], [""negative_value_in_non_negative_field"", ""quantity""], [""negative_value_in_non_negative_field"", ""revenue""], [""potential_outliers"", ""discount_percentage""], [""potential_outliers"", ""quantity""], [""potential_outliers"", ""revenue""]]","[[""duplicate_rows"", """"], [""missing_values"", ""notes""], [""missing_values"", ""payment_method""], [""missing_values"", ""region""], [""negative_value_in_non_negative_field"", ""quantity""], [""negative_value_in_non_negative_field"", ""revenue""], [""potential_outliers"", ""discount_percentage""], [""potential_outliers"", ""quantity""], [""potential_outliers"", ""revenue""]]",Pass,
CMP-239,small_business_sales,warnings (top-level count),8,8,Pass,
CMP-240,small_business_sales,limitations(presence),True,True,Pass,
CMP-241,research_survey,rows,96,96,Pass,
CMP-242,research_survey,columns,12,12,Pass,
CMP-243,research_survey,status,success_with_warnings,success_with_warnings,Pass,
CMP-244,research_survey,profile_version,0.2-proposed,0.2,Divergence,version label only
CMP-245,research_survey,duplicates.count,1,1,Pass,
CMP-246,research_survey,duplicates.percentage,1.04,1.04,Pass,
CMP-247,research_survey,missing_values (all columns),match,match,Pass,
CMP-248,research_survey,column set,identical,identical,Pass,
CMP-249,research_survey,response_id.inferred_type,identifier,identifier,Pass,
CMP-250,research_survey,response_id.missing_count,0,0,Pass,
CMP-251,research_survey,response_id.missing_percentage,0.0,0,Pass,
CMP-252,research_survey,response_id.unique_count,95,95,Pass,
CMP-253,research_survey,response_id.unique_percentage,98.96,98.96,Pass,
CMP-254,research_survey,response_id.warnings,"[""identifier column: not summarized as a measure""]","[""identifier column: not summarized as a measure""]",Pass,
CMP-255,research_survey,submission_date.inferred_type,text,text,Pass,
CMP-256,research_survey,submission_date.missing_count,0,0,Pass,
CMP-257,research_survey,submission_date.missing_percentage,0.0,0,Pass,
CMP-258,research_survey,submission_date.unique_count,78,78,Pass,
CMP-259,research_survey,submission_date.unique_percentage,81.25,81.25,Pass,
CMP-260,research_survey,submission_date.categorical_summary(presence),True,True,Pass,
CMP-261,research_survey,submission_date.warnings,"[""high_cardinality: 78 distinct values (81.25% of rows)"", ""mixed_date_formats: 96 of 96 values look like dates but do not parse under one consistent format; not treated as datetime""]","[""high_cardinality: 78 distinct values (81.25% of rows)"", ""mixed_date_formats: 96 of 96 values look like dates but do not parse under one consistent format; not treated as datetime""]",Pass,
CMP-262,research_survey,age.inferred_type,text,text,Pass,
CMP-263,research_survey,age.missing_count,0,0,Pass,
CMP-264,research_survey,age.missing_percentage,0.0,0,Pass,
CMP-265,research_survey,age.unique_count,41,41,Pass,
CMP-266,research_survey,age.unique_percentage,42.71,42.71,Pass,
CMP-267,research_survey,age.categorical_summary(presence),True,True,Pass,
CMP-268,research_survey,age.warnings,"[""mixed_type: 1 non-numeric value(s) among 95 numeric value(s); classified conservatively as text""]","[""mixed_type: 1 non-numeric value(s) among 95 numeric value(s); classified conservatively as text""]",Pass,
CMP-269,research_survey,gender.inferred_type,categorical,categorical,Pass,
CMP-270,research_survey,gender.missing_count,0,0,Pass,
CMP-271,research_survey,gender.missing_percentage,0.0,0,Pass,
CMP-272,research_survey,gender.unique_count,4,4,Pass,
CMP-273,research_survey,gender.unique_percentage,4.17,4.17,Pass,
CMP-274,research_survey,gender.categorical_summary(presence),True,True,Pass,
CMP-275,research_survey,gender.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-276,research_survey,education_level.inferred_type,categorical,categorical,Pass,
CMP-277,research_survey,education_level.missing_count,0,0,Pass,
CMP-278,research_survey,education_level.missing_percentage,0.0,0,Pass,
CMP-279,research_survey,education_level.unique_count,5,5,Pass,
CMP-280,research_survey,education_level.unique_percentage,5.21,5.21,Pass,
CMP-281,research_survey,education_level.categorical_summary(presence),True,True,Pass,
CMP-282,research_survey,education_level.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-283,research_survey,satisfaction_score.inferred_type,numeric,numeric,Pass,
CMP-284,research_survey,satisfaction_score.missing_count,4,4,Pass,
CMP-285,research_survey,satisfaction_score.missing_percentage,4.17,4.17,Pass,
CMP-286,research_survey,satisfaction_score.unique_count,6,6,Pass,
CMP-287,research_survey,satisfaction_score.unique_percentage,6.25,6.25,Pass,
CMP-288,research_survey,satisfaction_score.numeric_summary.count,92,92,Pass,
CMP-289,research_survey,satisfaction_score.numeric_summary.mean,3.2609,3.2609,Pass,
CMP-290,research_survey,satisfaction_score.numeric_summary.median,3.0,3,Pass,
CMP-291,research_survey,satisfaction_score.numeric_summary.min,1.0,1,Pass,
CMP-292,research_survey,satisfaction_score.numeric_summary.max,9.0,9,Pass,
CMP-293,research_survey,satisfaction_score.numeric_summary.q1,2.0,2,Pass,
CMP-294,research_survey,satisfaction_score.numeric_summary.q3,5.0,5,Pass,
CMP-295,research_survey,satisfaction_score.numeric_summary.std,1.5397,1.5397,Pass,
CMP-296,research_survey,recommend_service.inferred_type,categorical,categorical,Pass,
CMP-297,research_survey,recommend_service.missing_count,0,0,Pass,
CMP-298,research_survey,recommend_service.missing_percentage,0.0,0,Pass,
CMP-299,research_survey,recommend_service.unique_count,5,5,Pass,
CMP-300,research_survey,recommend_service.unique_percentage,5.21,5.21,Pass,
CMP-301,research_survey,recommend_service.categorical_summary(presence),True,True,Pass,
CMP-302,research_survey,recommend_service.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-303,research_survey,usage_frequency.inferred_type,categorical,categorical,Pass,
CMP-304,research_survey,usage_frequency.missing_count,3,3,Pass,
CMP-305,research_survey,usage_frequency.missing_percentage,3.12,3.12,Pass,
CMP-306,research_survey,usage_frequency.unique_count,5,5,Pass,
CMP-307,research_survey,usage_frequency.unique_percentage,5.21,5.21,Pass,
CMP-308,research_survey,usage_frequency.categorical_summary(presence),True,True,Pass,
CMP-309,research_survey,usage_frequency.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-310,research_survey,preferred_feature.inferred_type,categorical,categorical,Pass,
CMP-311,research_survey,preferred_feature.missing_count,0,0,Pass,
CMP-312,research_survey,preferred_feature.missing_percentage,0.0,0,Pass,
CMP-313,research_survey,preferred_feature.unique_count,6,6,Pass,
CMP-314,research_survey,preferred_feature.unique_percentage,6.25,6.25,Pass,
CMP-315,research_survey,preferred_feature.categorical_summary(presence),True,True,Pass,
CMP-316,research_survey,preferred_feature.warnings,"[""inconsistent_category_spelling: labels differ only by capitalization""]","[""inconsistent_category_spelling: labels differ only by capitalization""]",Pass,
CMP-317,research_survey,comments.inferred_type,text,text,Pass,
CMP-318,research_survey,comments.missing_count,22,22,Pass,
CMP-319,research_survey,comments.missing_percentage,22.92,22.92,Pass,
CMP-320,research_survey,comments.unique_count,49,49,Pass,
CMP-321,research_survey,comments.unique_percentage,51.04,51.04,Pass,
CMP-322,research_survey,comments.categorical_summary(presence),True,True,Pass,
CMP-323,research_survey,comments.warnings,"[""high_cardinality: 49 distinct values (51.04% of rows)""]","[""high_cardinality: 49 distinct values (51.04% of rows)""]",Pass,
CMP-324,research_survey,consent_given.inferred_type,categorical,categorical,Pass,
CMP-325,research_survey,consent_given.missing_count,0,0,Pass,
CMP-326,research_survey,consent_given.missing_percentage,0.0,0,Pass,
CMP-327,research_survey,consent_given.unique_count,1,1,Pass,
CMP-328,research_survey,consent_given.unique_percentage,1.04,1.04,Pass,
CMP-329,research_survey,consent_given.categorical_summary(presence),True,True,Pass,
CMP-330,research_survey,consent_given.warnings,"[""constant_column: single distinct value; carries no variation""]","[""constant_column: single distinct value; carries no variation""]",Pass,
CMP-331,research_survey,optional_follow_up.inferred_type,unknown,unknown,Pass,
CMP-332,research_survey,optional_follow_up.missing_count,96,96,Pass,
CMP-333,research_survey,optional_follow_up.missing_percentage,100.0,100,Pass,
CMP-334,research_survey,optional_follow_up.unique_count,0,0,Pass,
CMP-335,research_survey,optional_follow_up.unique_percentage,0.0,0,Pass,
CMP-336,research_survey,optional_follow_up.warnings,"[""all_missing: no values to summarize""]","[""all_missing: no values to summarize""]",Pass,
CMP-337,research_survey,quality_issues (type+column set),"[[""duplicate_rows"", """"], [""missing_values"", ""comments""], [""missing_values"", ""optional_follow_up""], [""missing_values"", ""satisfaction_score""], [""missing_values"", ""usage_frequency""], [""value_out_of_documented_range"", ""satisfaction_score""]]","[[""duplicate_rows"", """"], [""missing_values"", ""comments""], [""missing_values"", ""optional_follow_up""], [""missing_values"", ""satisfaction_score""], [""missing_values"", ""usage_frequency""], [""value_out_of_documented_range"", ""satisfaction_score""]]",Pass,
CMP-338,research_survey,warnings (top-level count),12,12,Pass,
CMP-339,research_survey,limitations(presence),True,True,Pass,
